person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,default_probability,risk_band
22,59000,RENT,123.0,PERSONAL,D,35000,16.02,1,0.59,Y,3,0.99571204,High
21,9600,OWN,5.0,EDUCATION,B,1000,11.14,0,0.1,N,2,0.051502082,Low
25,9600,MORTGAGE,1.0,MEDICAL,C,5500,12.87,1,0.57,N,3,0.9974861,High
23,65500,RENT,4.0,MEDICAL,C,35000,15.23,1,0.53,N,2,0.9914062,High
24,54400,RENT,8.0,MEDICAL,C,35000,14.27,1,0.55,Y,4,0.99692243,High
21,9900,OWN,2.0,VENTURE,A,2500,7.14,1,0.25,N,2,0.9655505,High
26,77100,RENT,8.0,EDUCATION,B,35000,12.42,1,0.45,N,3,0.99000776,High
24,78956,RENT,5.0,MEDICAL,B,35000,11.11,1,0.44,N,4,0.99368423,High
24,83000,RENT,8.0,PERSONAL,A,35000,8.9,1,0.42,N,2,0.9886846,High
21,10000,OWN,6.0,VENTURE,D,1600,14.74,1,0.16,N,3,0.8781031,High
22,85000,RENT,6.0,VENTURE,B,35000,10.37,1,0.41,N,4,0.9631737,High
21,10000,OWN,2.0,HOMEIMPROVEMENT,A,4500,8.63,1,0.45,N,2,0.9996867,High
23,95000,RENT,2.0,VENTURE,A,35000,7.9,1,0.37,N,2,0.9442122,High
26,108160,RENT,4.0,EDUCATION,E,35000,18.39,1,0.32,N,4,0.956345,High
23,115000,RENT,2.0,EDUCATION,A,35000,7.9,0,0.3,N,4,0.043024264,Low
23,500000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,30000,10.65,0,0.06,N,3,0.06114198,Low
23,120000,RENT,0.0,EDUCATION,A,35000,7.9,0,0.29,N,4,0.042159732,Low
23,92111,RENT,7.0,MEDICAL,F,35000,20.25,1,0.32,N,4,0.9949903,High
23,113000,RENT,8.0,DEBTCONSOLIDATION,D,35000,18.25,1,0.31,N,4,0.9971185,High
24,10800,MORTGAGE,8.0,EDUCATION,B,1750,10.99,1,0.16,N,2,0.982041,High
25,162500,RENT,2.0,VENTURE,A,35000,7.49,0,0.22,N,4,0.0064626383,Low
25,137000,RENT,9.0,PERSONAL,E,34800,16.77,0,0.25,Y,2,0.2050257,Medium
22,65000,RENT,4.0,EDUCATION,D,34000,17.58,1,0.52,N,4,0.97294015,High
24,10980,OWN,0.0,PERSONAL,A,1500,7.29,0,0.14,N,3,0.03451207,Low
22,80000,RENT,3.0,PERSONAL,D,33950,14.54,1,0.42,Y,4,0.97046924,High
24,67746,RENT,8.0,HOMEIMPROVEMENT,C,33000,12.68,1,0.49,N,3,0.99060714,High
21,11000,MORTGAGE,3.0,VENTURE,E,4575,17.74,1,0.42,Y,3,0.98711616,High
23,11000,OWN,0.0,PERSONAL,A,1400,9.32,0,0.13,N,3,0.042153824,Low
24,65000,RENT,6.0,HOMEIMPROVEMENT,B,32500,9.99,1,0.5,N,3,0.98304176,High
21,11389,OTHER,5.0,EDUCATION,C,4000,12.84,1,0.35,Y,2,0.99850523,High
21,11520,OWN,5.0,MEDICAL,B,2000,11.12,1,0.17,N,3,0.9804499,High
25,120000,RENT,2.0,VENTURE,A,32000,6.62,0,0.27,N,2,0.008283999,Low
26,95000,RENT,7.0,HOMEIMPROVEMENT,C,31050,14.17,1,0.33,Y,3,0.9648797,High
25,306000,RENT,2.0,DEBTCONSOLIDATION,C,24250,13.85,0,0.08,N,3,0.081336275,Low
26,300000,MORTGAGE,10.0,MEDICAL,C,7800,13.49,0,0.03,N,4,0.040582605,Low
21,12000,OWN,5.0,EDUCATION,A,2500,7.51,1,0.21,N,4,0.98707956,High
22,48000,RENT,1.0,EDUCATION,E,30000,18.39,1,0.63,N,2,0.9985306,High
24,64000,RENT,8.0,DEBTCONSOLIDATION,D,30000,14.54,1,0.47,Y,3,0.99894696,High
25,75000,RENT,4.0,HOMEIMPROVEMENT,D,30000,16.89,1,0.4,Y,4,0.9770238,High
23,71500,RENT,3.0,DEBTCONSOLIDATION,D,30000,10.99,1,0.42,N,4,0.99748516,High
26,62050,RENT,6.0,MEDICAL,E,30000,17.99,1,0.41,N,2,0.9987411,High
24,12000,OWN,4.0,VENTURE,B,2500,12.69,1,0.21,N,3,0.9629417,High
26,300000,MORTGAGE,10.0,VENTURE,A,20000,7.88,0,0.07,N,4,0.0024101464,Low
23,300000,OWN,1.0,EDUCATION,F,24250,19.41,0,0.08,Y,2,0.25554904,Medium
26,300000,OWN,9.0,HOMEIMPROVEMENT,B,10000,10.38,0,0.03,N,4,0.0010244703,Low
26,300000,MORTGAGE,0.0,EDUCATION,D,25000,15.33,0,0.08,N,3,0.21295112,Medium
25,300000,MORTGAGE,9.0,HOMEIMPROVEMENT,E,18000,16.45,0,0.06,N,3,0.13393761,Low
26,80690,RENT,8.0,PERSONAL,A,30000,7.49,1,0.37,N,3,0.9763699,High
22,66300,RENT,4.0,MEDICAL,B,30000,12.69,1,0.38,N,3,0.9882207,High
26,89028,RENT,0.0,DEBTCONSOLIDATION,A,30000,6.62,1,0.34,N,3,0.9801056,High
24,78000,RENT,4.0,DEBTCONSOLIDATION,D,30000,10.99,1,0.38,Y,4,0.99908173,High
23,78000,RENT,7.0,DEBTCONSOLIDATION,F,30000,18.62,1,0.38,Y,3,0.99790937,High
23,92004,RENT,6.0,PERSONAL,C,30000,15.23,1,0.33,Y,3,0.94012463,High
23,97000,RENT,7.0,VENTURE,B,30000,10.65,1,0.31,N,2,0.94546694,High
25,120000,RENT,9.0,EDUCATION,A,30000,7.9,0,0.25,N,4,0.026276564,Low
26,280000,RENT,4.0,PERSONAL,C,10000,15.96,0,0.04,Y,3,0.044006523,Low
26,277104,RENT,0.0,VENTURE,B,20000,11.48,0,0.07,N,3,0.0142292455,Low
23,277000,OWN,3.0,PERSONAL,A,35000,10.99,0,0.13,N,4,0.0012505976,Low
25,128000,RENT,9.0,PERSONAL,A,30000,7.29,0,0.23,N,4,0.030170375,Low
24,12000,OWN,2.0,VENTURE,E,1750,10.99,0,0.15,Y,3,0.16220045,Low
21,131000,RENT,0.0,VENTURE,A,30000,5.99,0,0.23,N,4,0.005797316,Low
22,275000,OWN,6.0,VENTURE,B,12000,11.58,0,0.04,N,2,0.0001533109,Low
26,263000,MORTGAGE,0.0,EDUCATION,B,10000,10.99,1,0.04,N,4,0.021044714,Low
25,221850,MORTGAGE,9.0,MEDICAL,D,25000,15.7,1,0.1,N,2,0.8739024,High
22,70000,RENT,6.0,EDUCATION,D,29100,15.99,1,0.42,N,3,0.9683926,High
22,12000,MORTGAGE,7.0,EDUCATION,D,1500,14.84,0,0.13,Y,3,0.37947163,Medium
26,260000,OWN,10.0,HOMEIMPROVEMENT,B,28000,10.99,0,0.11,N,3,0.0021697104,Low
25,259000,MORTGAGE,9.0,HOMEIMPROVEMENT,D,20000,14.42,0,0.08,Y,2,0.20402564,Medium
24,255000,MORTGAGE,9.0,EDUCATION,A,9600,6.99,0,0.04,N,2,0.01105596,Low
25,250000,RENT,2.0,MEDICAL,C,25000,13.49,0,0.1,N,4,0.106437534,Low
25,12000,OWN,0.0,MEDICAL,C,3000,10.99,1,0.25,N,3,0.98695755,High
22,56950,RENT,6.0,MEDICAL,A,28000,10.99,1,0.49,N,2,0.9951497,High
21,12000,OWN,6.0,EDUCATION,C,3000,13.61,1,0.25,Y,3,0.98763776,High
23,65000,RENT,2.0,EDUCATION,A,28000,7.9,1,0.43,N,2,0.97944874,High
26,85000,RENT,2.0,VENTURE,A,28000,7.49,1,0.33,N,3,0.9358008,High
26,12000,OWN,2.0,EDUCATION,A,6100,7.51,1,0.51,N,3,0.99574924,High
22,88000,RENT,6.0,VENTURE,B,28000,9.91,1,0.32,N,3,0.9593118,High
21,12000,OWN,0.0,PERSONAL,C,4200,13.48,1,0.35,Y,4,0.9960788,High
22,12000,OWN,6.0,DEBTCONSOLIDATION,A,4750,7.14,1,0.4,N,2,0.9969494,High
24,83004,RENT,0.0,VENTURE,D,28000,15.99,1,0.34,Y,4,0.99600226,High
24,250000,RENT,2.0,EDUCATION,C,18000,12.98,0,0.07,Y,3,0.035040494,Low
144,250000,RENT,4.0,VENTURE,C,4800,13.57,0,0.02,N,3,0.009132392,Low
25,100000,RENT,5.0,DEBTCONSOLIDATION,B,28000,12.69,0,0.28,N,3,0.09947826,Low
26,110000,RENT,10.0,EDUCATION,A,28000,8.9,0,0.25,N,2,0.030823326,Low
26,12000,OWN,0.0,DEBTCONSOLIDATION,A,2700,10.99,1,0.23,N,4,0.9837849,High
22,108000,RENT,6.0,EDUCATION,B,28000,10.99,1,0.26,N,4,0.09127,Low
23,151200,RENT,7.0,DEBTCONSOLIDATION,B,28000,11.11,0,0.19,N,2,0.0729733,Low
24,69000,RENT,2.0,HOMEIMPROVEMENT,A,27600,10.99,1,0.4,N,2,0.99387866,High
21,12000,MORTGAGE,5.0,DEBTCONSOLIDATION,E,3250,15.68,1,0.27,Y,3,0.99894744,High
22,70000,RENT,4.0,EDUCATION,C,27500,13.06,1,0.39,Y,3,0.97600025,High
22,240000,OWN,6.0,PERSONAL,B,25000,10.99,0,0.1,N,2,0.0019933158,Low
26,73200,RENT,5.0,VENTURE,D,27050,15.62,1,0.37,Y,2,0.9874401,High
24,83000,RENT,5.0,PERSONAL,C,27000,13.49,1,0.33,Y,2,0.98078704,High
24,73399,RENT,0.0,VENTURE,D,27000,10.99,1,0.37,N,3,0.9963097,High
23,62500,RENT,7.0,MEDICAL,B,26000,11.71,1,0.42,N,2,0.9923793,High
23,120000,RENT,1.0,EDUCATION,B,25600,12.69,0,0.21,N,3,0.0678907,Low
24,12360,OWN,2.0,MEDICAL,C,1600,13.57,0,0.13,N,3,0.036606513,Low
22,60000,RENT,0.0,VENTURE,B,25475,10.99,1,0.42,N,3,0.9763583,High
25,234000,MORTGAGE,3.0,MEDICAL,C,20000,14.27,0,0.09,Y,4,0.11095194,Low
24,234000,OWN,8.0,HOMEIMPROVEMENT,B,20000,8.88,0,0.09,N,4,0.0012901028,Low
26,234000,MORTGAGE,10.0,HOMEIMPROVEMENT,B,21600,12.18,0,0.09,N,3,0.048904844,Low
25,221004,MORTGAGE,6.0,DEBTCONSOLIDATION,D,11900,14.42,1,0.05,Y,3,0.886243,High
26,232500,MORTGAGE,0.0,MEDICAL,C,25000,14.17,0,0.11,Y,2,0.15854098,Low
25,230000,MORTGAGE,5.0,MEDICAL,C,35000,13.99,0,0.15,N,4,0.089782596,Low
23,83000,RENT,7.0,EDUCATION,B,25300,10.99,1,0.3,N,3,0.17195348,Low
22,12600,MORTGAGE,4.0,PERSONAL,A,2000,5.42,1,0.16,N,4,0.96668786,High
25,12600,OWN,3.0,PERSONAL,C,1750,13.61,0,0.14,N,3,0.030362971,Low
21,42500,RENT,3.0,EDUCATION,C,25000,12.73,1,0.59,Y,3,0.9931305,High
24,41000,RENT,2.0,HOMEIMPROVEMENT,D,25000,10.99,1,0.61,N,3,0.9982528,High
25,12816,OWN,0.0,DEBTCONSOLIDATION,C,3000,12.87,1,0.23,Y,4,0.97857153,High
24,12960,MORTGAGE,1.0,HOMEIMPROVEMENT,B,3650,9.91,1,0.28,N,3,0.9958507,High
26,226000,MORTGAGE,4.0,HOMEIMPROVEMENT,B,20000,11.49,0,0.09,N,4,0.04627519,Low
25,225000,MORTGAGE,0.0,HOMEIMPROVEMENT,E,30000,19.91,0,0.13,Y,2,0.23397379,Medium
26,213000,MORTGAGE,6.0,EDUCATION,B,35000,10.65,1,0.16,N,2,0.03207386,Low
24,225000,RENT,0.0,MEDICAL,B,6000,10.99,0,0.03,N,4,0.04346893,Low
24,12960,MORTGAGE,0.0,DEBTCONSOLIDATION,B,4500,11.83,1,0.35,N,4,0.99428236,High
23,12996,OWN,0.0,DEBTCONSOLIDATION,C,2400,13.49,1,0.18,Y,2,0.9551558,High
22,42000,RENT,6.0,MEDICAL,D,25000,14.59,1,0.6,Y,2,0.99840516,High
26,48000,RENT,2.0,EDUCATION,B,25000,9.64,1,0.52,N,4,0.9921719,High
25,12996,OWN,1.0,MEDICAL,D,3600,14.59,1,0.28,N,3,0.9938677,High
22,12996,OWN,1.0,EDUCATION,B,4750,10.99,1,0.37,N,3,0.9935516,High
25,42360,RENT,1.0,EDUCATION,E,25000,16.35,1,0.59,Y,3,0.9987569,High
21,49000,RENT,4.0,EDUCATION,B,25000,10.99,1,0.51,N,2,0.99427456,High
25,225000,MORTGAGE,0.0,VENTURE,F,25000,18.67,0,0.11,N,2,0.26656887,Medium
26,225000,RENT,1.0,EDUCATION,A,3000,9.32,0,0.01,N,4,0.01438884,Low
23,225000,RENT,8.0,DEBTCONSOLIDATION,A,7500,8.63,0,0.03,N,2,0.026538864,Low
26,225000,MORTGAGE,2.0,VENTURE,B,25000,10.08,0,0.11,N,2,0.005747499,Low
22,49464,RENT,5.0,PERSONAL,B,25000,11.83,1,0.51,N,3,0.99540675,High
23,50000,RENT,1.0,DEBTCONSOLIDATION,A,25000,7.9,1,0.5,N,3,0.9855945,High
25,50000,RENT,4.0,HOMEIMPROVEMENT,A,25000,5.99,1,0.5,N,2,0.9923401,High
24,44000,RENT,2.0,DEBTCONSOLIDATION,D,25000,15.33,1,0.57,N,2,0.9996371,High
23,50000,RENT,1.0,VENTURE,B,25000,11.83,1,0.5,N,4,0.97931767,High
22,50004,RENT,0.0,VENTURE,B,25000,10.36,1,0.5,N,2,0.9757068,High
22,50004,RENT,3.0,VENTURE,C,25000,12.23,1,0.5,N,3,0.9858774,High
